id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Price,Retail,LogPrice,LogRetail
1579,0.7,AGSL,VS1,G, ,64.2,TRUE,5.59x5.54x3.57,Very good,Angola,Round,Very good,56,2,3295,420,8.10016144693661,6.04025471127741
1580,0.7,AGSL,VS2,G, ,62.3,FALSE,5.65x5.69x3.53, ,South Africa,Round, ,59,2,3305,5455,8.10319175228579,8.60428789826717
1581,0.7,AGSL,VS2,F, ,64.1,FALSE,5.62x5.58x3.59,Excellent,Botswana,Radiant,Very good,57,1,3315,4055,8.10621290261996,8.30770596654951
1582,0.7,AGSL,VS2,F, ,64,FALSE,5.59x5.54x3.56,Very good,Russia,Marquise,Very good,NA,1,3315,5470,8.10621290261996,8.60703389541603
1583,0.71,AGSL,SI1,E, ,62.7,FALSE,5.69x5.73x3.58,Excellent,Russia,Princess,Excellent,NA,2,3320,5475,8.10772006191053,8.6079475546847
1584,0.7,AGSL,VVS2,G, ,64,FALSE,5.61x5.56x3.57,Very good,Botswana,Emerald,Very good,56,1,3350,5490,8.11671562481911,8.61068353450358
1585,0.74,AGSL,VS2,G, ,NA,FALSE,5.91x5.88x3.48,Very good,Australia,Pear,Very good,NA,2,3360,5545,8.11969625295725,8.62065189978447
1586,0.7,AGSL,VS2,F, ,NA,FALSE,5.67x5.75x3.45, ,Russia,Round, ,61,2,3360,5545,8.11969625295725,8.62065189978447
1587,0.71,AGSL,VVS2,H, ,61.8,FALSE,5.74x5.7x3.53,Excellent,South Africa,Emerald,Very good,58,1,3365,5480,8.12118324207883,8.60886037994206
1588,0.8,AGSL,VVS2,I, ,63.4,FALSE,5.87x5.8x3.7,Excellent,Australia,Round,Very good,58,1,3370,5560,8.12266802334641,8.62335338724463
1589,0.91,AGSL,I1,E, ,62.1,FALSE,6.25x6.2x3.87,Very good,Botswana,Oval,Very good,56,1,3370,5295,8.12266802334641,8.57451825803551
1590,0.7,GemEx,SI1,F,Excellent,61.4,FALSE,5.68x5.72x3.5,Excellent,Botswana,Round,Excellent,58,1,3375,6390,8.12415060330663,8.76248954737158
1591,1.01,AGSL,SI2,K, ,63.4,FALSE,6.38x6.33x4.03,Very good,Australia,Oval,Very good,55,1,3385,5735,8.12710918534638,8.65434302956347
1592,0.7,NA,VS1,G, ,62.9,FALSE,5.64x5.58x3.53,Very good,Russia,Asscher,Very good,60,1,3210,5050,8.07402621612406,8.52714352226941
1593,0.7,GemEx,VS1,G, ,62.8,FALSE,5.63x5.61x3.53,Very good,Angola,Round,Excellent,57,2,3385,5585,8.12710918534638,8.6278397115033
1594,0.7,AGSL,VS1,G, ,63,FALSE,5.67x5.63x3.56,Excellent,Botswana,Radiant,Excellent,NA,1,3385,5585,8.12710918534638,8.6278397115033
1595,0.64,AGSL,VS2,D, ,NA,FALSE,5.6x5.64x3.3,Excellent,Botswana,Round,Very good,62,2,3395,5225,8.1300590399928,8.56121007683301
1596,0.71,AGSL,VS2,D, ,64.5,FALSE,5.48x5.55x3.56, ,Australia,Oval, ,NA,1,3405,5620,8.13300021858361,8.63408694288774
1597,0.7,AGSL,VS1,H, ,62.7,FALSE,5.59x5.64x3.52,Excellent,Australia,Round,Excellent,NA,1,3410,5625,8.13446757027756,8.63497622707262
1598,0.7,NA,VS2,F, ,63.8,FALSE,5.56x5.53x3.54,Very good,Botswana,Round,Very good,58,1,3400,3305,8.13153071060425,8.10319175228579
1599,0.7,AGSL,VS2,F, ,63.1,FALSE,5.63x5.56x3.53,Excellent,Russia,Round,Very good,NA,1,3410,5625,8.13446757027756,8.63497622707262
1600,0.7,AGSL,VS2,F, ,63.5,FALSE,5.62x5.6x3.57,Excellent,South Africa,Asscher,Excellent,56,2,3410,5265,8.13446757027756,8.56883642456808
1601,0.71,AGSL,VS2,F, ,64.4,FALSE,5.57x5.55x3.58,Very good,Canada,Round,Excellent,56,2,3410,5625,8.13446757027756,8.63497622707262
1602,0.7,AGSL,VS2,F, ,63,FALSE,5.64x5.6x3.54,Excellent,Russia,Emerald,Very good,57,1,3410,5625,8.13446757027756,8.63497622707262
1603,0.7,AGSL,VS2,F, ,63.2,FALSE,5.64x5.62x3.56,Excellent,Angola,Round,Excellent,NA,2,3410,4800,8.13446757027756,8.47637119689598
1604,1.03,AGSL,SI2,M, ,61.5,FALSE,6.46x6.48x3.98, ,Canada,Round, ,59,1,3415,5780,8.13593277200489,8.66215896166642
1605,0.8,AGSL,SI2,F, ,NA,FALSE,5.86x5.84x3.72,Good,DR Congo,Round,Very good,NA,1,3415,4930,8.13593277200489,8.50309426703674
1606,0.66,AGSL,VS1,E, ,59.3,FALSE,5.64x5.68x3.36, ,Russia,Princess, ,61,1,3445,5680,8.14467918344776,8.6447065117152
1607,0.7,AGSL,VS2,F, ,60.9,FALSE,5.68x5.64x3.45,Very good,Botswana,Princess,Very good,58,2,3455,5700,8.14757773620177,8.64822145382264
1608,0.7,AGSL,VS2,F, ,63.3,FALSE,5.65x5.62x3.57,Excellent,Russia,Princess,Very good,NA,1,3455,4385,8.14757773620177,8.38594490480628
1609,0.74,AGSL,SI2,F, ,NA,FALSE,5.77x5.79x3.61,Excellent,Botswana,Round,Excellent,NA,1,3455,5640,8.14757773620177,8.6376393444921
1610,0.74,AGSL,VS1,I, ,61.5,FALSE,5.78x5.81x3.57,Excellent,DR Congo,Round,Excellent,NA,1,3455,5265,8.14757773620177,8.56883642456808
1611,0.71,AGSL,VVS2,H, ,61.5,FALSE,5.77x5.76x3.55,Excellent,Angola,Princess,Excellent,57,1,3455,3140,8.14757773620177,8.0519780789023
1612,0.7,AGSL,VS2,F, ,63.3,FALSE,5.61x5.58x3.54,Excellent,Russia,Radiant,Excellent,59,1,3455,5700,8.14757773620177,8.64822145382264
1613,0.8,AGSL,SI2,F, ,62.6,FALSE,5.96x5.92x3.72,Excellent,Botswana,Princess,Very good,NA,1,3455,4760,8.14757773620177,8.46800294722547
1614,0.72,AGSL,VS2,F, ,64.1,FALSE,5.66x5.64x3.62,Excellent,Russia,Round,Excellent,56,1,3460,4970,8.14902386805177,8.51117511909067
1615,0.73,AGSL,VVS2,I, ,61,FALSE,5.78x5.8x3.53,Very good,Botswana,Round,Excellent,NA,2,3460,4870,8.14902386805177,8.49084921607663
1616,0.63,NA,VVS2,D, ,62.4,FALSE,5.5x5.48x3.43,Very good,Russia,Radiant,Very good,56,1,2775,4830,7.92840602618053,8.48260174664662
1617,0.7,AGSL,VS1,E, ,65,FALSE,5.56x5.49x3.59,Excellent,DR Congo,Round,Very good,NA,1,3465,4875,8.150467911624,8.49187538343195
1618,0.81,AGSL,SI1,F, ,63.4,FALSE,5.84x5.86x3.71, ,Canada,Radiant, ,NA,2,3480,5740,8.15478757276852,8.65521448931361
1619,0.8,GemEx,SI2,D, ,62.2,FALSE,5.99x5.94x3.71,Excellent,Russia,Round,Very good,57,1,3485,5755,8.15622332319462,8.65782432115598
1620,1.07,NA,SI2,L, ,62.1,FALSE,6.58x6.55x4.08,Excellent,Botswana,Radiant,Very good,57,1,3360,4295,8.11969625295725,8.36520683441836
1621,0.7,AGSL,VVS2,G, ,63.6,FALSE,5.63x5.58x3.57,Very good,Australia,Round,Excellent,55,1,3495,5770,8.15908865466791,8.66042735950215
1622,0.7,AGSL,VVS2,G, ,63.1,FALSE,5.62x5.59x3.54,Excellent,DR Congo,Round,Very good,58,2,3495,5745,8.15908865466791,8.65608519028286
1623,0.7,AGSL,VVS2,G, ,62.9,FALSE,5.65x5.61x3.54,Excellent,Botswana,Round,Good,NA,2,3495,5680,8.15908865466791,8.6447065117152
1624,0.7,AGSL,VVS2,G, ,63.2,FALSE,5.61x5.58x3.54,Excellent,DR Congo,Princess,Very good,NA,1,3495,5610,8.15908865466791,8.63230599851674
1625,0.7,AGSL,SI1,F, ,61.9,FALSE,5.64x5.67x3.5,Excellent,Russia,Pear,Excellent,60,1,3520,5810,8.16621626859214,8.66733584984596
1626,0.7,AGSL,VS2,D, ,61.3,FALSE,5.63x5.59x3.44,Very good,Russia,Round,Good,64,2,3520,5635,8.16621626859214,8.63675242647388
1627,0.65,AGSL,IF,H, ,NA,FALSE,5.53x5.59x3.35,Excellent,Australia,Round,Very good,63,2,3535,5830,8.17046857833067,8.67077227934454
1628,0.81,NA,SI2,E, ,63.8,FALSE,5.87x5.85x3.74,Excellent,Other/Unknown,Princess,Excellent,57,2,2785,4335,7.93200315236138,8.37447688921464
1629,1.04,AGSL,VS2,M, ,63.9,FALSE,6.32x6.41x4.06, ,Australia,Oval, ,55,2,3545,6010,8.17329343896623,8.70118002752925
1630,0.8,AGSL,SI2,F,Very good,58.2,FALSE,6.11x6.13x3.57,Very good,Angola,Round,Very good,NA,1,3550,5775,8.17470288246946,8.66129353538999
1631,0.71,AGSL,VS2,F, ,62.6,FALSE,5.73x5.7x3.58,Excellent,Australia,Round,Very good,NA,2,3555,5030,8.17611034223734,8.52317526309379
1632,0.7,AGSL,VS1,F, ,63.3,FALSE,5.63x5.6x3.56,Very good,Canada,Round,Very good,55,2,3565,5830,8.1789193328484,8.67077227934454
1633,0.7,AGSL,VS1,F, ,63.8,FALSE,5.59x5.56x3.56,Excellent,Botswana,Cushion,Excellent,NA,1,3565,5600,8.1789193328484,8.63052187672324
1634,0.7,AGSL,VS1,E, ,65.2,FALSE,5.57x5.49x3.61,Very good,Russia,Radiant,Very good,55,2,3575,5900,8.18172045512811,8.68270762989381
1635,0.82,NA,SI2,F, ,NA,FALSE,6.01x5.96x3.73,Excellent,Australia,Round,Very good,56,1,2920,4205,7.97933889526233,8.34402957240705
1636,0.8,AGSL,SI2,E, ,NA,FALSE,5.9x5.94x3.67, ,Botswana,Round, ,59,1,3590,5765,8.18590748148232,8.65956043270316
1637,0.7,AGSL,VVS2,G, ,NA,FALSE,5.66x5.61x3.54,Excellent,Botswana,Round,Very good,56,2,3595,5590,8.18729927015515,8.62873456614915
1638,0.73,AGSL,VVS1,H, ,62.5,FALSE,5.76x5.75x3.6,Excellent,Russia,Princess,Excellent,57,1,3595,5930,8.18729927015515,8.68777949199177
1639,0.81,AGSL,SI2,F,Very good,63.2,FALSE,5.84x5.86x3.7,Excellent,Russia,Round,Excellent,57,1,3600,5850,8.1886891244442,8.6741969402259
1640,0.71,AGSL,SI1,D, ,62.1,FALSE,5.73x5.71x3.55,Very good,Russia,Round,Very good,NA,2,3600,5940,8.1886891244442,8.68946441235669
1641,0.7,AGSL,VS1,F, ,63.4,FALSE,5.6x5.58x3.55,Excellent,Russia,Round,Excellent,55,1,3615,5960,8.19284713459287,8.6928257600594
1642,0.7,AGSL,VS1,F, ,59.2,FALSE,5.78x5.74x3.41,Excellent,Botswana,Round,Very good,60,1,3615,5605,8.19284713459287,8.63141433550626
1643,0.7,AGSL,VS1,F, ,62.3,FALSE,5.71x5.69x3.55,Very good,Russia,Round,Excellent,54,2,3615,3425,8.19284713459287,8.13885675069633
1644,0.7,AGSL,VS1,F, ,63.2,FALSE,5.57x5.54x3.51,Excellent,Other/Unknown,Princess,Very good,59,2,3615,5960,8.19284713459287,8.6928257600594
1645,0.9,AGSL,VS2,J, ,NA,FALSE,6.13x6.05x3.85,Very good,DR Congo,Princess,Very good,60,2,3615,5765,8.19284713459287,8.65956043270316
1646,0.8,AGSL,SI2,F, ,NA,FALSE,5.94x5.92x3.68,Excellent,Angola,Marquise,Excellent,NA,1,3620,5805,8.19422930481982,8.66647489413199
1647,0.82,AGSL,SI1,H,Very good,62.3,FALSE,5.94x5.99x3.72,Excellent,Russia,Round,Excellent,NA,1,3625,6250,8.19560956728878,8.74033674273045
1648,0.93,AGSL,I1,H, ,58.8,FALSE,6.35x6.38x3.74,Very good,Australia,Round,Very good,61,1,3630,5985,8.1969879272589,8.69701161799207
1649,1,AGSL,SI2,K, ,61.3,FALSE,6.4x6.33x3.9,Excellent,Other/Unknown,Round,Good,NA,1,3630,6150,8.1969879272589,8.72420736080056
1650,1.01,AGSL,I1,K, ,61.7,FALSE,6.39x6.43x3.95,Very good,Botswana,Round,Good,NA,3,3640,5585,8.19973896063079,8.6278397115033
1651,0.7,AGSL,SI1,F,Excellent,NA,FALSE,5.66x5.69x3.54,Excellent,Russia,Round,Excellent,NA,1,3650,5935,8.20248244657654,8.68862230704377
1652,0.71,AGSL,SI1,E,Good,59.5,TRUE,5.77x5.81x3.45,Very good,Angola,Princess,Good,55,1,3650,530,8.20248244657654,6.27287700654617
1653,1.2,AGSL,VS2,M, ,64.5,FALSE,6.74x6.64x4.31,Excellent,Angola,Round,Good,55,2,3655,4595,8.20385137218388,8.43272403478979
1654,0.7,AGSL,VS1,F, ,NA,FALSE,5.64x5.62x3.56,Very good,Russia,Marquise,Excellent,56,2,3660,6040,8.20521842639541,8.70615929092886
1655,1.06,GemEx,SI2,L, ,60.3,FALSE,6.63x6.6x3.99,Excellent,Zimbabwe,Round,Excellent,59,1,3665,6160,8.20658361432075,8.72583205652757
1656,1.06,AGSL,SI2,L, ,60.3,FALSE,6.61x6.59x3.98,Excellent,Russia,Round,Excellent,59,1,3665,6205,8.20658361432075,8.73311069763871
1657,0.9,NA,VS2,J, ,63.6,FALSE,6.09x6.05x3.86,Very good,Botswana,Asscher,Very good,59,1,3085,5120,8.03430693633949,8.54090971803355
1658,0.73,AGSL,SI1,F, ,61.9,FALSE,5.78x5.81x3.59,Excellent,Australia,Princess,Excellent,NA,3,3675,6005,8.20930841164694,8.70034773451408
1659,0.81,AGSL,VVS2,I, ,62.4,FALSE,6x5.97x3.73,Excellent,DR Congo,Round,Excellent,NA,1,3675,5495,8.20930841164694,8.61159386683772
1660,0.73,AGSL,VVS2,I, ,61.9,TRUE,5.75x5.8x3.58,Very good,DR Congo,Princess,Very good,59,3,3675,420,8.20930841164694,6.04025471127741
1661,0.7,AGSL,VVS2,F, ,61.3,FALSE,5.62x5.66x3.46,Excellent,Russia,Oval,Very good,60,1,3690,6085,8.21338173703457,8.71358200542163
1662,0.72,AGSL,VVS2,G, ,59,FALSE,5.88x5.86x3.46,Excellent,South Africa,Round,Excellent,NA,1,3695,5810,8.2147358333823,8.66733584984596
1663,0.75,AGSL,VS2,F, ,61.5,FALSE,5.82x5.76x3.56,Excellent,Russia,Princess,Very good,61,1,3700,6105,8.21608809863232,8.71686338654481
1664,0.7,AGSL,VVS2,F, ,62.9,FALSE,5.64x5.62x3.54,Very good,Botswana,Oval,Very good,56,1,3715,5585,8.22013395715186,8.6278397115033
1665,0.81,AGSL,SI2,D, ,61.1,FALSE,5.98x6.01x3.67, ,Russia,Princess, ,59,2,3715,6130,8.22013395715186,8.72095002893026
1666,0.73,AGSL,VS1,G, ,60.8,FALSE,5.84x5.8x3.54,Very good,Russia,Round,Very good,NA,2,3720,5875,8.22147894726719,8.67846133901236
1667,0.9,AGSL,SI2,I, ,62.7,FALSE,6.16x6.09x3.84,Excellent,Botswana,Round,Very good,56,1,3730,5930,8.22416351263786,8.68777949199177
1668,0.9,AGSL,SI1,J, ,62.9,FALSE,6.07x6.11x3.83,Excellent,Angola,Round,Very good,58,1,3740,6170,8.22684089040858,8.72745411689943
1669,0.71,AGSL,VVS1,H, ,61.3,FALSE,5.75x5.73x3.52,Excellent,South Africa,Round,Excellent,59,1,3745,6135,8.22817689595132,8.72176535714501
1670,0.8,GemEx,VVS2,I, ,NA,FALSE,5.92x5.97x3.69,Very good,South Africa,Princess,Very good,NA,2,3760,5920,8.23217423638394,8.68609172787805
1671,0.7,AGSL,VVS2,F, ,63.8,TRUE,5.62x5.58x3.57,Excellent,Angola,Round,Very good,58,1,3765,820,8.23350314023399,6.7093043402583
1672,0.71,AGSL,VS1,F, ,62.4,FALSE,5.69x5.66x3.54,Excellent,Russia,Emerald,Very good,57,1,3765,6210,8.23350314023399,8.73391617492752
1673,0.81,AGSL,SI2,E, ,62.4,FALSE,5.92x5.96x3.71, ,Australia,Pear, ,NA,2,3765,6215,8.23350314023399,8.73472100394481
1674,0.7,AGSL,VVS2,F, ,62.7,FALSE,5.66x5.64x3.54,Excellent,South Africa,Round,Excellent,NA,1,3765,5930,8.23350314023399,8.68777949199177
1675,1.09,AGSL,SI2,L, ,60.9,TRUE,6.66x6.62x4.04,Very good,DR Congo,Round,Excellent,61,2,3765,630,8.23350314023399,6.44571981938558
1676,0.7,AGSL,VVS1,G, ,64.3,FALSE,5.59x5.54x3.58,Very good,Australia,Princess,Very good,NA,2,3790,6255,8.24012129807647,8.74113642290101
1677,0.72,AGSL,VVS1,H, ,62,FALSE,5.75x5.73x3.56,Excellent,Russia,Emerald,Excellent,57,2,3795,6260,8.24143968982973,8.74193546409414
1678,0.74,AGSL,VVS2,G, ,62.4,FALSE,5.8x5.78x3.61,Excellent,Angola,Round,Excellent,54,2,3800,6270,8.24275634571448,8.74353163362697
1679,1,AGSL,SI2,L, ,60.8,FALSE,6.48x6.49x3.94, ,Other/Unknown,Round, ,56,2,3800,5895,8.24275634571448,8.68185981297147
1680,0.73,AGSL,VVS1,H, ,62.2,FALSE,5.77x5.74x3.58,Excellent,DR Congo,Marquise,Excellent,58,1,3130,4965,8.0487882835342,8.51016857647927
1681,0.8,NA,SI1,G, ,62.5,FALSE,5.96x5.93x3.72,Excellent,Canada,Oval,Excellent,57,1,3425,4775,8.13885675069633,8.47114925291483
1682,0.8,NA,SI1,G,Excellent,60.5,FALSE,6.01x6.02x3.64,Excellent,Botswana,Round,Excellent,58,1,3210,5055,8.07402621612406,8.52813313145457
1683,0.81,AGSL,SI1,G,Very good,63,FALSE,5.82x5.87x3.68,Very good,Russia,Round,Excellent,58,2,3825,6195,8.24931374626064,8.73149779406324
1684,0.7,AGSL,SI1,D, ,NA,FALSE,5.66x5.68x3.54,Excellent,Angola,Asscher,Excellent,55,1,3830,6315,8.25062008217469,8.75068303478459
1685,0.7,AGSL,VVS2,F, ,60.4,FALSE,5.78x5.76x3.48,Excellent,Australia,Emerald,Excellent,59,1,3870,6385,8.26100978602383,8.76170676846664
1686,0.75,NA,SI2,D, ,NA,FALSE,5.83x5.85x3.62,Excellent,Russia,Oval,Excellent,NA,1,3830,5730,8.25062008217469,8.65347080970879
1687,1,AGSL,VS1,L, ,62,FALSE,6.38x6.32x3.94,Excellent,Russia,Round,Good,58,1,3885,6580,8.26487826280175,8.79179002431936
1688,0.7,AGSL,VS1,G, ,61.8,FALSE,5.7x5.68x3.51,Excellent,Other/Unknown,Round,Very good,57,1,3890,6415,8.26616443661249,8.76639427704974
1689,0.72,AGSL,VS2,E, ,57.7,TRUE,5.93x5.97x3.43,Very good,Angola,Round,Very good,61,2,3810,550,8.24538446812075,6.30991827822652
1690,1.04,AGSL,SI2,K, ,61.1,FALSE,6.5x6.54x3.98, ,Russia,Pear, ,NA,3,3895,6595,8.26744895830485,8.79406706515142
1691,0.8,AGSL,SI1,E, ,63.1,FALSE,5.9x5.87x3.71,Very good,Other/Unknown,Round,Very good,58,1,3895,6420,8.26744895830485,8.76717339668401
1692,0.7,AGSL,VVS1,G, ,60.8,FALSE,5.72x5.7x3.47,Excellent,Russia,Round,Very good,NA,1,3900,6435,8.26873183211774,8.76950712003023
1693,0.7,AGSL,VVS1,G, ,61.3,TRUE,5.71x5.69x3.5,Very good,Angola,Round,Excellent,61,3,3900,635,8.26873183211774,6.45362499889269
1694,0.9,AGSL,SI2,E, ,60.6,FALSE,6.19x6.21x3.76, ,Russia,Oval, ,58,2,3900,6435,8.26873183211774,8.76950712003023
1695,0.7,AGSL,VVS1,G, ,63.4,FALSE,5.6x5.56x3.54,Very good,Russia,Round,Very good,56,1,3900,6435,8.26873183211774,8.76950712003023
1696,0.7,AGSL,VS2,D, ,63.6,FALSE,5.65x5.59x3.57,Excellent,Other/Unknown,Round,Very good,56,1,3900,6435,8.26873183211774,8.76950712003023
1697,0.7,GemEx,VVS1,G, ,63.1,FALSE,5.66x5.61x3.55,Excellent,Russia,Round,Excellent,59,1,3900,6435,8.26873183211774,8.76950712003023
1698,1.01,AGSL,VS2,K, ,61.4,FALSE,6.45x6.41x3.95,Very good,Canada,Princess,Very good,NA,1,3905,6615,8.27001306227379,8.79709507654906
1699,1,AGSL,SI2,K, ,61.6,FALSE,6.43x6.4x3.95,Excellent,Russia,Oval,Excellent,60,2,3910,6625,8.27129265297941,8.79860565085442
1700,0.7,AGSL,SI1,G, ,60.8,FALSE,5.7x5.73x3.47,Excellent,Botswana,Round,Excellent,61,2,3920,6455,8.27384693278451,8.77261030328074
1701,0.7,AGSL,SI1,G, ,61.7,FALSE,5.68x5.69x3.5,Excellent,Other/Unknown,Round,Excellent,NA,1,3920,3275,8.27384693278451,8.09407314806935
1702,0.8,AGSL,SI1,F, ,60.5,FALSE,6.01x6.04x3.65, ,Botswana,Round, ,NA,1,3925,5840,8.27512163021651,8.67248607582227
1703,0.8,AGSL,VS2,G, ,63.1,FALSE,5.92x5.85x3.72,Very good,Zimbabwe,Asscher,Very good,NA,1,3925,4250,8.27512163021651,8.35467426191846
1704,1.01,AGSL,SI2,K, ,61.5,FALSE,6.44x6.41x3.96,Excellent,Australia,Round,Excellent,NA,1,3950,6690,8.28147085789517,8.80836915312227
1705,0.9,NA,SI2,H, ,64.1,FALSE,6.03x6.07x3.88, ,Russia,Round, ,56,1,3595,4840,8.18729927015515,8.48466999971068
1706,0.7,AGSL,VVS1,G, ,NA,FALSE,5.75x5.7x3.43,Excellent,Canada,Round,Very good,NA,2,3955,6525,8.28273588020175,8.78339623219089
1707,0.7,GemEx,VVS1,G, ,NA,FALSE,5.7x5.64x3.46,Excellent,DR Congo,Round,Very good,NA,1,3955,4965,8.28273588020175,8.51016857647927
1708,1.02,GemEx,SI1,K, ,61.9,FALSE,6.46x6.44x4,Excellent,Angola,Emerald,Excellent,56,1,3965,6710,8.28526113406895,8.81135422996573
1709,1.07,AGSL,SI1,L, ,NA,FALSE,6.56x6.54x4.06,Very good,Australia,Round,Very good,57,1,3970,5810,8.28652137368124,8.66733584984596
1710,0.7,AGSL,VVS2,F, ,59.4,FALSE,5.82x5.79x3.45,Excellent,Russia,Round,Excellent,58,2,3975,6555,8.28778002708843,8.7879833961978
1711,0.84,AGSL,SI1,G,Excellent,62.4,FALSE,5.97x6x3.74,Excellent,Russia,Round,Excellent,57,1,3975,6795,8.28778002708843,8.82394232658524
1712,0.8,AGSL,SI1,F, ,63.6,FALSE,5.87x5.82x3.72,Excellent,Botswana,Round,Good,NA,2,3975,3945,8.28778002708843,8.28020423327997
1713,0.71,AGSL,SI1,G, ,NA,FALSE,5.78x5.81x3.45,Excellent,Russia,Princess,Excellent,61,2,3980,6560,8.28903709827848,8.78874588193814
1714,1.01,AGSL,SI1,L, ,62.4,FALSE,6.43x6.4x4.01,Excellent,Angola,Round,Excellent,58,2,4025,6815,8.30028018985266,8.82688134413063
1715,1,AGSL,SI2,J, ,57.7,FALSE,6.46x6.48x3.74, ,Canada,Round, ,64,2,4030,6820,8.30152165494073,8.82761475083751
1716,1,GemEx,SI2,J, ,62.4,FALSE,6.32x6.33x3.95, ,Russia,Radiant, ,NA,1,4030,6820,8.30152165494073,8.82761475083751
1717,0.73,NA,SI1,E, ,62,FALSE,5.77x5.79x3.58,Excellent,Russia,Oval,Excellent,NA,1,3295,4755,8.10016144693661,8.46695197497949
1718,0.9,AGSL,VS2,I, ,64.8,TRUE,6.09x6.01x3.92,Excellent,DR Congo,Oval ,Very good,59,1,3350,490,8.11671562481911,6.19440539110467
1719,0.8,AGSL,SI1,E, ,63.8,FALSE,5.85x5.82x3.72,Excellent,Canada,Round,Very good,57,1,4045,6675,8.30523682949259,8.80612448326845
1720,0.8,AGSL,SI1,E, ,63.8,FALSE,5.87x5.83x3.73,Excellent,Other/Unknown,Round,Excellent,59,2,4045,6675,8.30523682949259,8.80612448326845
1721,0.7,AGSL,VS1,D, ,64.2,FALSE,5.54x5.6x3.57, ,Russia,Round, ,NA,1,4055,6685,8.30770596654951,8.80762148953604
1722,0.7,AGSL,VVS1,G, ,62.7,FALSE,5.67x5.65x3.55,Excellent,Russia,Round,Excellent,NA,2,4060,6700,8.30893825259578,8.80986280537906
1723,1.04,AGSL,SI2,K, ,59.6,FALSE,6.64x6.6x3.95,Excellent,Botswana,Round,Excellent,60,2,4065,4960,8.31016902198191,8.50916101971897
1724,1.01,AGSL,VS1,K, ,NA,FALSE,6.17x6.24x4.07, ,Angola,Round, ,NA,1,4070,6890,8.31139827843664,8.8378263640077
1725,0.8,AGSL,SI1,F, ,62.5,FALSE,5.91x5.89x3.69,Very good,South Africa,Radiant,Excellent,57,1,4075,6360,8.31262602567496,8.75778365633417
1726,1.01,AGSL,VS2,K, ,64.2,FALSE,6.39x6.33x4.08,Very good,Canada,Round,Very good,54,3,4095,6935,8.31752199628717,8.84433633274893
1727,0.81,AGSL,SI1,E, ,64,FALSE,5.85x5.83x3.74,Excellent,Russia,Emerald,Excellent,57,2,4100,6760,8.3187422526924,8.81877816903701
1728,0.96,AGSL,SI1,K, ,62.5,FALSE,6.26x6.3x3.93,Excellent,Other/Unknown,Round,Excellent,56,1,4100,6760,8.3187422526924,8.81877816903701
1729,0.8,AGSL,SI1,E, ,62.7,FALSE,5.91x5.9x3.7,Very good,Canada,Round,Excellent,NA,2,4100,6760,8.3187422526924,8.81877816903701
1730,0.8,GemEx,SI1,E, ,63.2,FALSE,5.81x5.86x3.69, ,Botswana,Round, ,56,2,4100,6440,8.3187422526924,8.7702838190984
1731,0.77,AGSL,SI1,H, ,NA,FALSE,5.85x5.81x3.61,Excellent,DR Congo,Round,Excellent,60,2,4110,6765,8.32117830749028,8.81951754060489
1732,0.72,AGSL,VVS1,G, ,NA,FALSE,5.71x5.69x3.6,Excellent,DR Congo,ROUND,Excellent,56,1,4120,6320,8.32360844234357,8.7514744871409
1733,0.9,AGSL,SI2,G, ,64.6,FALSE,5.98x6.04x3.88, ,Russia,Emerald, ,56,1,4120,6795,8.32360844234357,8.82394232658524
1734,1.01,AGSL,VS1,M, ,61.9,FALSE,6.42x6.47x3.99, ,Russia,Oval , ,57,1,3305,6990,8.10319175228579,8.85223583522786
1735,1,NA,SI1,J, ,66.2,FALSE,6.18x6.21x4.11, ,Russia,Round, ,59,2,3660,6685,8.20521842639541,8.80762148953604
1736,0.9,AGSL,SI1,I, ,63.9,FALSE,6.09x6.05x3.88,Very good,Botswana,Round,Very good,NA,2,4150,6825,8.33086361322474,8.82834762005316
1737,0.9,AGSL,SI1,I, ,64.3,FALSE,5.99x6.04x3.87, ,Australia,Round, ,NA,1,4150,6825,8.33086361322474,8.82834762005316
1738,0.9,AGSL,VS2,I, ,NA,FALSE,6.08x5.99x3.87,Very good,Botswana,Round,Very good,NA,1,4165,6730,8.33447155460094,8.81433042263877
1739,0.81,AGSL,VS2,G, ,61.9,FALSE,6x5.97x3.7,Excellent,Other/Unknown,Round,Excellent,57,1,4175,6890,8.33686963728496,8.8378263640077
1740,1,AGSL,VVS2,M, ,60,FALSE,6.53x6.55x3.92, ,Zimbabwe,Round, ,60,3,4195,6925,8.34164861890131,8.84289333105554
1741,0.8,AGSL,VVS2,H, ,62.7,FALSE,5.97x5.94x3.73,Excellent,Russia,Oval ,Excellent,56,1,3300,6930,8.10167774745457,8.84361509218395
1742,1.02,AGSL,SI1,K, ,NA,FALSE,6.46x6.43x3.95,Excellent,Australia,Princess,Very good,NA,2,4205,7125,8.34402957240705,8.87136500513685
1743,1.01,AGSL,SI1,K, ,59.3,FALSE,6.54x6.52x3.87,Excellent,DR Congo,Princess,Excellent,61,3,4225,6285,8.34877453979127,8.74592112102435
1744,1,AGSL,VS1,K, ,64.5,FALSE,6.27x6.29x4.05, ,Botswana,Marquis, ,NA,1,3485,7085,8.15622332319462,8.86573515212478
