id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers
8809,0.9,AGSL,VVS2,F, ,63.9,NA,6.09x6.03x3.87,Excellent,DR Congo,Round,Excellent,NA,2,NA
8810,0.9,AGSL,VVS2,F, ,NA,NA,6.07x6.04x3.88,Excellent,Angola,Princess,Excellent,57,1,NA
8811,1.02,AGSL,SI2,E, ,62.6,NA,6.41x6.43x4.02, ,Russia,Round, ,57,3,NA
8812,1.09,AGSL,SI2,E, ,61.9,NA,6.57x6.61x4.08,Excellent,Russia,Round,Excellent,NA,3,NA
8813,1.01,AGSL,VS1,I, ,NA,NA,6.48x6.46x3.98,Excellent,Russia,Emerald,Excellent,59,2,NA
8814,0.91,AGSL,VS2,G, ,NA,NA,6.17x6.21x3.87, ,DR Congo,Pear, ,NA,2,NA
8815,1,AGSL,SI2,H,Excellent,NA,NA,6.44x6.48x3.96,Excellent,Russia,Radiant,Excellent,NA,3,NA
8816,1.05,AGSL,SI2,H, ,62.5,NA,6.48x6.51x4.06,Excellent,Canada,Oval ,Excellent,NA,3,NA
8817,1.4,AGSL,SI1,L, ,60.9,NA,7.19x7.21x4.38, ,Russia,Pear, ,60,2,NA
8818,1.42,GemEx,VS2,K, ,NA,NA,7.17x7.14x4.49,Excellent,Australia,Round,Excellent,NA,1,NA
8819,1.01,GemEx,VS1,G, ,65.4,FALSE,6.12x6.28x4.06, ,Angola,Round, ,54,3,NA
8820,1.21,AGSL,SI2,I, ,62.4,NA,6.77x6.8x4.24, ,Russia,Round, ,56,2,NA
8821,1.4,AGSL,VS2,K, ,63.1,NA,7.12x7.05x4.47,Excellent,Russia,Round,Excellent,57,4,NA
8822,1.08,AGSL,VS2,I, ,60.2,NA,6.64x6.7x4.02,Very good,Australia,Round,Very good,58,3,NA
8823,1.2,AGSL,VVS2,J, ,62.6,NA,6.8x6.74x4.24,Excellent,Canada,Round,Excellent,NA,4,NA
8824,1.35,NA,SI1,K, ,62.4,NA,7x7.05x4.38, ,DR Congo,Marquise, ,NA,3,NA
8825,1.5,AGSL,SI2,L, ,61.5,NA,7.34x7.36x4.52, ,Botswana,Asscher, ,59,4,NA
8826,1.09,AGSL,SI2,F, ,NA,NA,6.57x6.6x4.09, ,Australia,Round, ,NA,3,NA
8827,1.18,AGSL,SI2,I, ,62.3,NA,6.76x6.77x4.21,Excellent,Botswana,Marquise,Excellent,57,3,NA
8828,1.16,AGSL,SI1,F, ,61.4,NA,6.74x6.78x4.15,Excellent,Russia,ROUND,Excellent,NA,2,NA
8829,1.26,AGSL,VS2,J, ,62.5,NA,6.89x6.86x4.3,Excellent,South Africa,Oval,Excellent,57,4,NA
8830,1.41,AGSL,VVS2,L, ,61.9,NA,7.15x7.19x4.44, ,Russia,Round, ,59,2,NA
8831,0.91,AGSL,VS2,E, ,NA,NA,6.21x6.24x3.8, ,Russia,Round, ,60,2,NA
8832,1.51,AGSL,VS2,L, ,62.5,NA,7.36x7.28x4.58,Very good,DR Congo,Uncut,Very good,56,2,NA
8833,1,AGSL,VVS1,I, ,62.1,NA,6.43x6.45x4, ,Botswana,Round, ,NA,4,NA
8834,1.54,GemEx,VS2,L, ,58,NA,7.63x7.6x4.42,Excellent,Russia,Oval,Excellent,62,2,NA
8835,1.5,AGSL,SI1,L, ,62.8,NA,7.3x7.21x4.56,Excellent,Botswana,Round,Very good,57,2,NA
8836,1.01,NA,SI1,G, ,61,NA,6.43x6.48x3.94,Good,Russia,Round,Good,NA,3,NA
8837,1.01,AGSL,VS1,I, ,60.1,NA,6.47x6.52x3.9, ,Russia,Radiant, ,60,4,NA
8838,1.21,AGSL,VS2,I, ,NA,NA,6.98x6.93x4.15,Very good,Angola,Round,Good,57,2,NA
8839,1.08,AGSL,VS1,J, ,62.4,NA,6.56x6.61x4.11,Excellent,Canada,Oval,Excellent,55,3,NA
8840,1.3,AGSL,SI1,J, ,62.3,NA,7.03x7x4.37,Excellent,Russia,Round,Excellent,55,3,NA
8841,1.3,AGSL,SI1,J, ,62.6,NA,7x6.96x4.37,Excellent,Angola,Oval,Excellent,55,2,NA
8842,1.3,NA,SI1,J, ,NA,NA,7.12x7.09x4.24,Excellent,Canada,Round,Excellent,60,1,NA
8843,1.36,AGSL,VVS2,K, ,62.2,FALSE,7.06x7.09x4.4, ,Botswana,Emerald, ,NA,1,NA
8844,1.22,AGSL,SI2,H, ,62.8,FALSE,6.82x6.8x4.28,Excellent,South Africa,Round,Excellent,NA,4,NA
8845,1,AGSL,VS2,H, ,62.5,NA,6.33x6.37x3.97,Excellent,Russia,Emerald,Good,60,2,NA
8846,1.33,AGSL,SI2,J, ,62.9,NA,7.01x6.98x4.4,Excellent,Canada,Round,Excellent,NA,2,NA
8847,1,GemEx,SI2,E,Good,63.3,NA,6.24x6.28x3.96,Very good,Russia,Princess,Very good,61,4,NA
8848,1,AGSL,SI1,H,Good,NA,NA,6.28x6.32x3.96,Very good,Angola,Emerald,Good,59,4,NA
8849,1.2,AGSL,SI1,I, ,60.7,NA,6.88x6.84x4.17,Excellent,Russia,Emerald,Excellent,59,2,NA
8850,1.26,AGSL,VS1,J, ,60.6,NA,7.01x6.98x4.24,Excellent,DR Congo,Princess,Excellent,59,4,NA
8851,1.01,AGSL,SI1,H,Good,63.8,NA,6.16x6.24x3.96,Very good,Australia,Princess,Good,NA,2,NA
8852,1.01,AGSL,SI2,F, ,62.4,NA,6.41x6.44x4.01,Excellent,Russia,Round,Excellent,NA,3,NA
8853,1.01,AGSL,SI2,F, ,60.8,NA,6.41x6.44x3.91,Excellent,Botswana,Emerald,Very good,61,2,NA
8854,1.4,AGSL,VS2,K, ,60.2,NA,7.23x7.24x4.35, ,Russia,Round, ,60,2,NA
8855,1.01,AGSL,SI2,F,Excellent,NA,NA,6.39x6.45x3.97,Excellent,Botswana,Oval,Very good,56,4,NA
8856,1,AGSL,SI1,H,Very good,62.8,NA,6.28x6.31x3.96,Good,Botswana,Round,Good,56,2,NA
8857,1.42,AGSL,VS1,L, ,59.8,NA,7.33x7.3x4.37,Excellent,DR Congo,Round,Excellent,60,3,NA
8858,1.41,AGSL,VS2,K, ,60,FALSE,7.24x7.28x4.36, ,DR Congo,Radiant, ,60,2,NA
8859,1.2,AGSL,SI2,G, ,59.7,NA,6.92x6.88x4.12,Excellent,Russia,Round,Excellent,60,3,NA
8860,1.23,AGSL,VS2,J, ,62.1,NA,6.81x6.85x4.24,Excellent,Russia,Round,Excellent,56,2,NA
8861,1,AGSL,SI1,G, ,63.1,NA,6.31x6.33x3.99,Very good,Russia,Round,Excellent,59,2,NA
8862,1,AGSL,VS2,G, ,58.7,NA,6.56x6.52x3.84,Excellent,Russia,Princess,Very good,NA,3,NA
8863,1.12,AGSL,SI2,G,Excellent,62.6,NA,6.61x6.63x4.15,Excellent,Russia,Round,Excellent,55,2,NA
8864,1.43,AGSL,SI1,K, ,62.4,NA,7.17x7.2x4.48, ,Russia,Oval, ,57,2,NA
8865,1.06,GemEx,VVS1,I, ,59.9,NA,6.6x6.65x3.97, ,Botswana,Round, ,NA,2,NA
8866,1.5,AGSL,VS1,L, ,NA,NA,7.46x7.43x4.42,Excellent,Botswana,ROUND,Excellent,61,4,NA
8867,1.01,AGSL,IF,I, ,59.5,NA,6.46x6.48x3.85,Excellent,Canada,Round,Excellent,64,2,NA
8868,1.01,AGSL,VS2,J, ,NA,NA,6.24x6.27x4,Excellent,Russia,Round,Good,59,3,NA
8869,1.02,AGSL,SI1,G, ,60,NA,6.5x6.53x3.91, ,Russia,Oval, ,61,4,NA
8870,1.3,AGSL,VS1,J, ,62.6,FALSE,6.98x6.94x4.35,Excellent,Australia,Marquis,Excellent,57,2,NA
8871,1.31,AGSL,SI2,I, ,62.5,NA,6.98x6.96x4.35,Excellent,Angola,Round,Excellent,58,2,NA
8872,1.23,AGSL,SI1,J,Excellent,62.6,NA,6.86x6.88x4.3,Excellent,Russia,Round,Excellent,56,2,NA
8873,1.31,AGSL,SI2,I, ,62.4,NA,7x6.98x4.36,Excellent,Australia,Asscher,Excellent,NA,2,NA
8874,1.05,AGSL,SI2,I, ,62.7,TRUE,6.5x6.46x4.06,Excellent,DR Congo,Round,Excellent,57,4,NA
8875,1.3,AGSL,VS2,J, ,62.2,NA,7x6.96x4.34,Excellent,Australia,Round,Excellent,56,2,NA
8876,1.11,AGSL,VS2,I, ,62.7,NA,6.58x6.63x4.15, ,DR Congo,Round, ,57,3,NA
8877,1.03,AGSL,SI1,I, ,62.7,NA,6.42*6.47*4.04,Excellent,DR Congo,Round,Excellent,57,2,NA
8878,1.14,AGSL,SI2,E, ,59,NA,6.84x6.9x4.05,Excellent,Botswana,Oval,Excellent,NA,2,NA
8879,1.17,NA,VVS2,J, ,62.5,NA,6.74x6.79x4.23,Excellent,Botswana,Round,Excellent,NA,2,NA
8880,1.4,AGSL,VS2,K, ,62.3,NA,7.12x7.15x4.44, ,South Africa,Emerald, ,57,1,NA
8881,1.3,GemEx,SI2,I, ,59.9,NA,7.08x7.05x4.23,Excellent,Russia,Oval,Excellent,61,4,NA
8882,1.5,AGSL,SI1,K, ,61.8,NA,7.29x7.25x4.49,Excellent,Botswana,Radiant,Very good,58,3,NA
8883,1.07,AGSL,VVS1,K, ,62.4,NA,6.57x6.53x4.08,Excellent,DR Congo,Round,Excellent,NA,3,NA
8884,1.07,AGSL,VS2,I, ,61.6,NA,6.55x6.58x4.05,Excellent,Canada,Round,Excellent,NA,2,NA
8885,1.2,GemEx,SI2,H, ,61,NA,6.81x6.85x4.17,Excellent,Canada,Princess,Excellent,60,3,NA
8886,1.13,AGSL,VS2,I, ,62.5,FALSE,6.63x6.66x4.15, ,Botswana,Round, ,58,4,NA
8887,1.4,AGSL,SI1,J, ,61.3,NA,7.16x7.18x4.39,Excellent,Russia,Round,Excellent,59,3,NA
8888,1.21,NA,VS2,I, ,62.5,NA,6.81x6.78x4.25,Excellent,Zimbabwe,Round,Excellent,58,1,NA
8889,1.01,AGSL,SI1,H,Very good,NA,NA,6.31x6.39x4.02,Excellent,DR Congo,Round,Good,NA,3,NA
8890,1.28,GemEx,SI1,J,Good,62,NA,6.95x6.97x4.31,Fair,Russia,Round,Excellent,56,4,NA
8891,1.01,AGSL,SI1,D, ,NA,NA,6.34x6.38x4.02,Excellent,Australia,Round,Excellent,57,4,NA
8892,1.22,AGSL,VS1,K,Excellent,62.1,NA,6.85x6.87x4.26,Excellent,Russia,Radiant,Excellent,56,2,NA
8893,1.23,AGSL,SI2,I,Very good,60.7,NA,6.89x6.92x4.19,Very good,Angola,Emerald,Very good,58,1,NA
8894,1.33,AGSL,VS1,J, ,62.5,NA,7.04x6.99x4.38,Excellent,Botswana,Round,Excellent,57,2,NA
8895,1.1,AGSL,VS2,H, ,60,NA,6.73x6.69x4.03,Excellent,Other/Unknown,Oval,Excellent,NA,2,NA
8896,1.25,AGSL,SI2,G, ,61.8,NA,6.92x6.94x4.28,Excellent,Botswana,Princess,Excellent,NA,2,NA
8897,1.06,AGSL,SI1,G, ,62.9,NA,6.45x6.5x4.07, ,Russia,Round, ,NA,2,NA
8898,1.01,AGSL,SI1,D, ,NA,NA,6.52x6.47x3.96,Very good,Botswana,Round,Very good,NA,2,NA
8899,1,AGSL,VVS2,F, ,65.6,NA,6.22x6.26x4.09, ,Russia,Marquise, ,53,3,NA
8900,1.03,AGSL,SI2,E, ,NA,NA,6.48x6.54x4,Excellent,Russia,Marquis,Excellent,57,2,NA
8901,1.01,AGSL,VS1,G, ,NA,NA,6.41x6.39x4,Excellent,Botswana,Round,Excellent,57,2,NA
8902,1.01,NA,SI1,G,Good,62.2,NA,6.24x6.28x3.9,Good,South Africa,Round,Good,NA,4,NA
8903,1,GemEx,SI1,G,Very good,60.3,FALSE,6.43x6.48x3.89,Very good,Russia,Round,Good,63,2,NA
8904,1.01,GemEx,VS2,H, ,62.3,NA,6.31x6.35x3.94,Excellent,Russia,Round,Very good,60,3,NA
8905,1.01,AGSL,VS1,F, ,63,NA,6.4x6.36x4.02,Excellent,Canada,Round,Very good,57,2,NA
8906,1,AGSL,SI1,E, ,NA,NA,6.54x6.59x3.88,Excellent,Botswana,Round,Very good,57,4,NA
8907,1.23,NA,SI1,I, ,62.6,NA,6.79x6.84x4.26,Very good,DR Congo,Round,Excellent,58,1,NA
8908,1.01,NA,SI1,E, ,NA,NA,6.52x6.55x3.92, ,DR Congo,Round, ,NA,2,NA
8909,1.08,AGSL,SI1,G, ,61.4,NA,6.53x6.56x4.02, ,Australia,Emerald, ,NA,4,NA
8910,1.14,NA,SI1,G, ,NA,NA,6.84x6.81x4.07,Excellent,South Africa,Radiant,Excellent,60,4,NA
8911,1,GemEx,IF,I, ,61.3,NA,6.42x6.39x3.93,Excellent,Russia,Round,Excellent,NA,3,NA
8912,1.13,AGSL,VS2,H, ,59.9,NA,6.8x6.79x4.07,Excellent,Australia,Pear,Excellent,61,2,NA
8913,1.02,AGSL,SI1,G, ,59.4,FALSE,6.52x6.56x3.89, ,South Africa,Round, ,62,3,NA
8914,1.04,AGSL,SI2,G, ,NA,NA,6.43x6.46x4.02,Excellent,DR Congo,Round,Excellent,58,4,NA
8915,1.3,AGSL,SI2,H, ,NA,NA,6.97x6.93x4.34,Excellent,DR Congo,Round,Excellent,57,2,NA
8916,1.51,AGSL,SI2,K, ,62.3,NA,7.29x7.33x4.55, ,Botswana,Asscher, ,59,2,NA
8917,1.26,AGSL,VS1,K,Excellent,61.7,NA,6.92x6.94x4.28,Excellent,Russia,Round,Excellent,57,2,NA
8918,1.08,AGSL,VS2,J, ,60.9,NA,6.63x6.6x4.03,Excellent,South Africa,Round,Excellent,60,4,NA
8919,1.22,AGSL,VS1,I, ,62.5,NA,6.82x6.78x4.25,Excellent,Russia,Emerald,Excellent,57,2,NA
8920,1.1,AGSL,VVS2,I, ,62.2,NA,6.57x6.61x4.1, ,South Africa,Radiant, ,57,2,NA
8921,1.3,AGSL,SI2,I, ,62.1,FALSE,6.95x6.98x4.33,Excellent,Russia,Round,Excellent,NA,1,NA
8922,1.43,AGSL,VS1,K, ,62.2,FALSE,7.17x7.21x4.47, ,Russia,Round, ,NA,3,NA
8923,1.05,AGSL,VS2,G, ,62.1,NA,6.52x6.48x4.04,Excellent,South Africa,Round,Excellent,57,4,NA
8924,1.01,AGSL,SI1,F, ,60.7,NA,6.47x6.52x3.95, ,DR Congo,Round, ,NA,2,NA
8925,1.4,AGSL,SI1,J, ,62,NA,7.17x7.14x4.44,Excellent,Other/Unknown,Round,Excellent,59,2,NA
8926,1.13,AGSL,VS1,I, ,NA,NA,6.77x6.82x4.05,Very good,Botswana,Round,Excellent,59,2,NA
8927,1.07,AGSL,VS1,I, ,62,NA,6.52x6.57x4.06,Excellent,Russia,Radiant,Excellent,57,2,NA
8928,1.12,AGSL,SI1,G, ,62.1,NA,6.6x6.63x4.11, ,DR Congo,Round, ,57,3,NA
8929,1.53,AGSL,SI2,J, ,64.2,NA,7.16x7.21x4.61, ,Russia,Radiant, ,57,2,NA
8930,1.31,AGSL,SI2,J,Excellent,60.3,NA,7.08x7.1x4.28,Excellent,Canada,Princess,Excellent,NA,2,NA
8931,1.05,AGSL,VS2,G, ,61.7,NA,6.54x6.5x4.02,Excellent,DR Congo,Emerald,Excellent,59,2,NA
8932,1.31,AGSL,SI2,H, ,62.1,NA,7x7.01x4.35, ,Other/Unknown,Round, ,NA,2,NA
8933,1.01,AGSL,VS1,H,Very good,60.5,NA,6.47x6.52x3.93,Very good,Australia,Pear,Good,NA,4,NA
8934,1.3,AGSL,SI1,I, ,61.6,NA,6.96x7.01x4.3,Excellent,DR Congo,Round,Excellent,59,1,NA
8935,1.13,AGSL,SI1,E, ,60,NA,6.71x6.76x4.04, ,Botswana,Round, ,62,1,NA
8936,0.91,AGSL,SI1,D, ,NA,NA,6.19x6.2x3.85,Excellent,Canada,Round,Excellent,56,2,NA
8937,1.24,AGSL,SI2,H,Excellent,62.2,FALSE,6.84x6.88x4.27,Excellent,Canada,Round,Excellent,57,2,NA
8938,1.51,AGSL,SI1,J, ,NA,NA,7.22x7.14x4.63,Very good,Botswana,Round,Very good,NA,2,NA
8939,1.21,AGSL,SI1,H, ,60.5,NA,6.9x6.87x4.16,Excellent,South Africa,Round,Excellent,59,4,NA
8940,1.05,AGSL,VVS2,J, ,NA,NA,6.55x6.51x4.01,Excellent,Russia,Round,Excellent,NA,3,NA
8941,1.4,AGSL,SI1,J, ,NA,NA,7.11x7.14x4.46, ,Russia,Round, ,NA,2,NA
8942,1.1,NA,SI1,D, ,60.9,NA,6.65x6.68x4.06, ,Russia,Round, ,58,1,NA
8943,1.08,AGSL,VS2,G, ,60.2,NA,6.67x6.64x4.01,Excellent,Botswana,Princess,Excellent,60,4,NA
8944,1.21,AGSL,VS1,I, ,62.5,NA,6.82x6.79x4.25,Excellent,Botswana,Round,Excellent,57,2,NA
8945,1.22,AGSL,SI2,G, ,NA,NA,6.8x6.83x4.24, ,Russia,Round, ,NA,2,NA
8946,1.49,AGSL,VS1,K, ,62.2,NA,7.34x7.31x4.56,Excellent,Russia,Radiant,Excellent,58,3,NA
8947,1.4,AGSL,VS1,J, ,63,NA,7.12x7.08x4.47,Excellent,Canada,Round,Excellent,57,2,NA
8948,1.24,AGSL,SI2,G, ,61.8,FALSE,6.92x6.96x4.29,Excellent,Russia,Round,Excellent,53,2,NA
8949,1.03,GemEx,SI1,H, ,62.4,NA,6.44x6.5x4.04,Excellent,Russia,Round,Very good,54,2,NA
8950,1,AGSL,VVS2,G, ,60.9,NA,6.39x6.35x3.88,Excellent,Canada,Pear,Excellent,61,2,NA
8951,1.21,AGSL,SI1,I,Very good,63.6,FALSE,6.71x6.73x4.27,Excellent,Botswana,Round,Very good,56,2,NA
8952,1.27,AGSL,SI1,J,Excellent,59.1,NA,7.06x7.09x4.18,Excellent,South Africa,Round,Excellent,NA,3,NA
8953,1.47,AGSL,VS1,L, ,60.2,NA,7.35x7.44x4.45,Very good,Angola,Round,Very good,58,2,NA
8954,0.96,AGSL,SI1,D, ,NA,NA,6.31x6.34x3.91,Excellent,Australia,Round,Excellent,NA,2,NA
8955,1.2,AGSL,VS1,I, ,62,NA,6.76x6.8x4.2, ,Russia,Marquise, ,NA,1,NA
8956,1.5,AGSL,SI1,J, ,63.7,NA,7.22x7.2x4.6,Excellent,Russia,Round,Excellent,57,2,NA
8957,1.4,AGSL,SI1,J, ,62.6,NA,7.1x7.16x4.46,Excellent,Australia,Round,Excellent,57,2,NA
8958,1.31,AGSL,SI2,H, ,62.5,FALSE,6.98x6.99x4.37,Excellent,Russia,Round,Excellent,57,2,NA
8959,1.01,AGSL,VS2,G, ,59.3,NA,6.47x6.5x3.85,Excellent,DR Congo,Radiant,Excellent,62,3,NA
8960,1.01,AGSL,VS2,I, ,60.8,NA,6.37x6.29x3.85,Excellent,Russia,Round,Very good,62,2,NA
8961,1,AGSL,VS1,F, ,NA,NA,6.28x6.26x4.03,Excellent,DR Congo,Emerald,Excellent,55,4,NA
8962,1,AGSL,VS1,F, ,NA,NA,6.34x6.3x3.99,Good,Russia,Round,Excellent,NA,4,NA
8963,1.04,AGSL,SI1,G, ,62.4,FALSE,6.47x6.5x4.05,Excellent,Other/Unknown,Princess,Excellent,57,3,NA
8964,1.21,AGSL,SI1,F, ,62,NA,6.8x6.82x4.22,Very good,Russia,Round,Excellent,NA,4,NA
8965,1.7,AGSL,SI1,L, ,62,TRUE,7.65x7.63x4.74,Excellent,DR Congo,Pear,Excellent,NA,2,NA
8966,1.27,GemEx,VS2,I, ,NA,FALSE,6.98x7.02x4.29, ,Russia,Round, ,57,2,NA
8967,0.9,AGSL,VVS1,G, ,60.3,NA,6.27x6.32x3.8, ,Botswana,Round, ,57,3,NA
8968,1.01,AGSL,SI1,F, ,NA,NA,6.39x6.41x4.01,Excellent,Australia,Radiant,Excellent,56,3,NA
8969,1.4,GemEx,SI1,J, ,NA,NA,7.28x7.3x4.3, ,South Africa,Round, ,61,3,NA
8970,1.09,AGSL,VVS2,H, ,62.2,NA,6.62x6.59x4.11,Excellent,Angola,Round,Excellent,57,2,NA
8971,1.01,AGSL,VS1,F, ,64.2,NA,6.32x6.29x4.05,Very good,Russia,Round,Excellent,56,2,NA
8972,1.09,AGSL,VVS2,J, ,62.5,NA,6.61x6.58x4.12,Excellent,Botswana,Round,Very good,NA,4,NA
8973,1.01,AGSL,VS2,G, ,60.4,NA,6.49x6.52x3.93, ,Russia,Emerald, ,61,2,NA
8974,1.27,AGSL,SI1,I, ,62.3,NA,6.88x6.93x4.3,Excellent,Russia,Round,Very good,58,2,NA
8975,1.7,NA,VS1,L, ,NA,NA,7.63x7.59x4.76,Excellent,Canada,Round,Excellent,57,4,NA
8976,1.74,AGSL,VVS2,S-t,Very good,64.6,NA,7.47x7.52x4.84,Excellent,Russia,Round,Excellent,55,4,NA
8977,1.41,AGSL,SI2,I, ,62.4,NA,7.17x7.14x4.46,Excellent,Angola,Round,Excellent,57,2,NA
8978,1.01,AGSL,VS1,F, ,63.5,NA,6.35x6.3x4.02,Excellent,Botswana,Round,Very good,54,2,NA
8979,1.01,AGSL,VS1,F, ,64.1,TRUE,6.31x6.27x4.03,Excellent,DR Congo,Round,Excellent,57,2,NA
8980,1.33,AGSL,SI2,G, ,60.6,NA,7.14x7.11x4.32,Excellent,Angola,Round,Excellent,59,4,NA
8981,1.03,AGSL,VS1,F, ,64,NA,6.32x6.3x4.04,Excellent,Canada,Round,Excellent,59,1,NA
8982,1.4,AGSL,VS2,J, ,62.5,NA,7.11x7.16x4.46, ,Russia,Round, ,58,4,NA
8983,1.14,AGSL,VS2,H, ,62.4,NA,6.66x6.7x4.17,Excellent,Russia,Round,Excellent,57,3,NA
8984,1.26,AGSL,SI1,J, ,59.9,NA,7.03x7.01x4.2,Very good,DR Congo,Round,Excellent,60,3,NA
8985,1.52,AGSL,VS2,K, ,NA,NA,7.28x7.32x4.62,Excellent,Canada,Princess,Very good,NA,2,NA
8986,1,AGSL,VS1,G, ,NA,NA,6.5x6.53x3.86,Excellent,Canada,Oval ,Very good,62,2,NA
8987,1.31,AGSL,VS2,I, ,59.6,NA,7.14x7.11x4.25,Excellent,Botswana,Round,Excellent,NA,1,NA
8988,1.21,AGSL,SI1,F, ,NA,NA,6.9x6.81x4.17,Excellent,Canada,Round,Good,60,2,NA
8989,1.01,AGSL,VS1,F, ,61.3,NA,6.44x6.4x3.94,Very good,Canada,Oval,Very good,63,4,NA
8990,1.01,AGSL,VS1,F, ,63.2,NA,6.4x6.35x4.03,Excellent,South Africa,Round,Excellent,59,4,NA
8991,1.1,AGSL,VVS1,I, ,61.9,NA,6.61x6.64x4.1,Excellent,Russia,Princess,Excellent,55,2,NA
8992,1.01,AGSL,VVS1,H, ,61.1,NA,6.43x6.48x3.94, ,Russia,Round, ,61,3,NA
8993,1.01,AGSL,VVS1,H, ,60.7,NA,6.47x6.48x3.93, ,Angola,Round, ,62,3,NA
8994,1.11,AGSL,SI1,G, ,60.9,NA,6.69x6.74x4.09, ,Canada,Round, ,NA,4,NA
8995,1.03,AGSL,VS2,D, ,61.3,NA,6.51x6.53x4, ,DR Congo,Emerald, ,56,2,NA
8996,1.3,AGSL,VS1,J,Very good,63.6,NA,6.84x6.88x4.36,Very good,South Africa,Round,Excellent,NA,4,NA
8997,1.14,GemEx,SI1,E,Good,64.4,NA,6.38x6.47x4.14,Good,Botswana,Round,Very good,NA,3,NA
8998,1,AGSL,IF,I, ,60.3,NA,6.46x6.48x3.9,Excellent,Australia,Round,Excellent,NA,4,NA
8999,1.4,NA,VS1,J, ,60.3,NA,7.2x7.22x4.35, ,Russia,Round, ,NA,4,NA
9000,1.5,AGSL,VS1,J, ,62.2,NA,7.34x7.29x4.55,Excellent,Australia,Round,Excellent,55,2,NA
9001,1.5,AGSL,SI1,J, ,61.4,NA,7.38x7.35x4.52,Excellent,Russia,Round,Excellent,NA,4,NA
9002,1.07,AGSL,VS1,H, ,61,NA,6.6x6.64x4.04, ,DR Congo,Round, ,NA,4,NA
9003,1.45,AGSL,SI1,J, ,NA,NA,7.4x7.43x4.37, ,Russia,Round, ,NA,2,NA
9004,1.51,GemEx,SI2,J, ,63.5,NA,7.22x7.26x4.59,Excellent,Canada,Princess,Excellent,56,3,NA
9005,1.01,AGSL,VS2,F, ,59.8,NA,6.5x6.52x3.89, ,Canada,Radiant, ,60,2,NA
9006,1.31,AGSL,VS2,I, ,63.9,NA,6.83x6.9x4.38,Excellent,Russia,Round,Very good,59,2,NA
9007,1.3,NA,SI2,F, ,NA,NA,6.93x6.97x4.31, ,Russia,Oval, ,61,1,NA
9008,1.01,AGSL,VVS2,I, ,65.5,NA,6.26x6.2x4.08,Very good,Canada,Round,Good,NA,2,NA
9009,1.25,AGSL,SI2,G,Excellent,NA,NA,6.89x6.93x4.26,Very good,Russia,Princess,Very good,NA,2,NA
9010,1.01,AGSL,VVS1,G, ,63.5,NA,6.34x6.26x4,Excellent,Russia,Emerald,Very good,58,4,NA
9011,1,NA,VS2,E, ,58.2,NA,6.54x6.57x3.81,Excellent,Russia,Round,Very good,60,2,NA
9012,1.04,AGSL,VS1,H, ,62.3,NA,6.47x6.5x4.04,Excellent,Canada,Round,Excellent,58,3,NA
9013,1.19,NA,VS2,H, ,61.8,NA,6.81x6.83x4.21, ,Botswana,Princess, ,56,3,NA
9014,1,AGSL,VVS1,G, ,63.4,NA,6.34x6.29x4,Excellent,Australia,Round,Excellent,60,3,NA
9015,1.22,NA,SI2,H,Very good,62.1,NA,6.77x6.8x4.21,Good,Russia,Round,Excellent,NA,4,NA
9016,1.5,AGSL,SI2,J, ,60.8,NA,7.35x7.4x4.48,Excellent,DR Congo,ROUND,Very good,59,2,NA
9017,1.43,AGSL,VS1,J, ,62.4,NA,7.16x7.19x4.48, ,DR Congo,Round, ,57,2,NA
9018,1.07,AGSL,VVS2,H, ,60.2,NA,6.62x6.66x4, ,DR Congo,Round, ,59,3,NA
9019,1.46,AGSL,VS1,J, ,59.2,NA,7.43x7.4x4.39,Excellent,Canada,Oval,Excellent,61,2,NA
9020,1.3,GemEx,SI2,G,Excellent,59.3,NA,7.12x7.15x4.23,Excellent,DR Congo,Round,Excellent,61,2,NA
9021,1.53,AGSL,SI1,J, ,61.8,NA,7.41x7.36x4.56,Excellent,Botswana,Oval,Very good,NA,3,NA
9022,1.1,AGSL,VS1,H, ,61.8,NA,6.61x6.64x4.1,Excellent,Russia,Round,Excellent,58,4,NA
9023,1,GemEx,VS1,G, ,62.4,FALSE,6.35x6.41x3.98,Excellent,Angola,Round,Excellent,NA,3,NA
9024,1.02,AGSL,SI1,E, ,61.8,NA,6.42x6.46x3.98,Excellent,DR Congo,Round,Excellent,60,4,NA
9025,1.26,NA,SI1,G, ,62.2,NA,6.91x6.88x4.29,Excellent,South Africa,Radiant,Excellent,NA,4,NA
9026,1.6,NA,SI2,I, ,62.4,NA,7.48x7.45x4.66,Excellent,Russia,Pear,Excellent,57,4,NA
9027,1.1,AGSL,VVS2,G, ,59.6,NA,6.72x6.73x4.01, ,Russia,Radiant, ,60,4,NA
9028,1.51,NA,I1,G, ,62.5,NA,7.34x7.36x4.6,Excellent,DR Congo,Oval,Excellent,56,3,NA
9029,1.4,AGSL,SI1,I, ,NA,NA,7.14x7.19x4.43, ,Australia,Round, ,59,2,NA
9030,1.21,AGSL,VS2,H, ,62.6,NA,6.76x6.8x4.24, ,Canada,Oval, ,NA,2,NA
9031,1.22,AGSL,VS1,I, ,61.8,NA,6.83x6.85x4.23,Excellent,Botswana,Round,Excellent,58,2,NA
